BCCTU	Dissophora_ornata_NRRL_22417
BCCTS	Echinosporangium_transversalis_NRRL_5525
BCCSG	Mortierella_sp._A-12553
BCCOW	Mortierella_lignicola_NRRL_2525
BCCPO	Mortierella_sp._NRRL_3175
BCCTX	Mortierella_sp._NRRL_A-10739
BCCSB	Mortierella_sp._NRRL_A-10996
Lobtra1	Lobosporangium_transversale_NRRL_3116
BCCSY	Modicella_reniformis_MES-2147
BCCSN	Mortierella_alpina_AD071
BCCSS	Mortierella_alpina_AD072
N164	Mortierella_alpina_B6842
BCCGZ	Mortierella_alpina_CK1249
BCCHH	Mortierella_alpina_GBA31
CTHWC	Mortierella_alpina_NRRL_66262
CHXXH	Mortierella_ambigua_BC1065
CHXXN	Mortierella_ambigua_BC1291
BCCPB	Mortierella_ambigua_NRRL_28271
BCCSH	Mortierella_alpina_NVP157
BCCSX	Mortierella_beljakovae_KOD_1040
BCCOY	Mortierella_camargensis_NRRL_2610
BCCHP	Mortierella_chlamydospora_AD033
BCCPW	Mortierella_chlamydospora_NRRL_2769
CTHPN	Mortierella_claussenii_NRRL_2760
BCCTG	Mortierella_clonocystis_AM1000
BCCNY	Mortierella_clonocystis_KOD_947
BCCTH	Mortierella_cystojenkinii_CBS456.71
BCCHN	Mortierella_elongata_GBA34
BCCOP	Mortierella_elongata_GBA40
BCCNX	Mortierella_elongata_NVP5
BCCOB	Mortierella_elongata_NVP71
BCCNA	Mortierella_epicladia_AD058
BCCTC	Mortierella_epicladia_KOD_1059
BCCPG	Mortierella_epigama_NRRL_5512
BCCOU	Mortierella_exigua_NRRL_28262
BCCHY	Mortierella_gamsii_AD045
BCCNZ	Mortierella_gamsii_NVP60
BCCHZ	Mortierella_globulifera_AD054
BCCPT	Mortierella_globulifera_REB-010B
BCCTN	Mortierella_horticola_AD009
BCCHB	Mortierella_horticola_CK413
BCCTA	Mortierella_humilis_KOD_1050
CTHUY	Mortierella_hygrophila_NRRL_2591
BCCNO	Mortierella_minutissima_AD069
BCCNS	Mortierella_minutissima_NVP1
BCCTY	Mortierella_multidivaricata_NRRL_6456
BCCOA	Mortierella_polycephala_KOD_948
BCCPP	Mortierella_schmuckeri_NRRL_6426
BCCSO	Mortierella_selenospora_KOD_1015
BCCSU	Mortierella_sp._14UC
BCCST	Mortierella_sp._KOD_1030
BCCTO	Mortierella_sp_AD010
BCCTP	Mortierella_sp_AD011
BCCNB	Mortierella_sp_AD031
BCCNC	Mortierella_sp_AD032
BCCTB	Mortierella_sp_AD094
BCCNN	Mortierella_sp_AM989
BCCHG	Mortierella_sp_GBA30
BCCHO	Mortierella_sp_GBA35
BCCOO	Mortierella_sp_GBA39
BCCON	Mortierella_sp_GBA43
MorGBAus27b_1	Mortierella_sp_GBAus27b
BCCNU	Mortierella_sp_NVP41
BCCOG	Mortierella_sp_NVP85
BCCSZ	Mortierella_verticillata_AD079
BCCPA	Mortierella_verticillata_NRRL_2611
Morve1	Mortierella_verticillata_NRRL_6337
BCCOS	Mortierella_verticillata_TTC192
BCCPN	Mortierella_wolfii_NRRL_6351
BCCTZ	Mortierella_wolfii_NRRL_66265
CTHWB	Mortierella_zychae_NRRL_2592
GBNUC	Mortierella_zychae_PUST_F9C
